Identifiant;Date;Description;Montant;Name
1;09/11/2019;paiement facture;100000;John Doe
2;10/11/2019;versement;100021;Meryline Doe
3;11/11/2019;Retrait;100002;John Doe
4;12/11/2019;Transfer ;100003;Meryline Doe
5;13/11/2019;Retrait;100004;John Doe
6;14/11/2019;paiement facture ONEA;100005;Meryline Doe
7;15/11/2019;versement sur la caisse;100006;John Doe
8;16/11/2019;paiement;100007;Meryline Doe
9;17/11/2019;Transfer ;100008;John Doe
10;18/11/2019;versement;100009;Meryline Doe
11;19/11/2019;versement facture 1;100010;John Doe
12;20/11/2019;versement facture 2 ;100011;Meryline Doe
13;21/11/2019;Retrait;100012;John Doe
14;22/11/2019;versement facture 54;100013;Meryline Doe
15;23/11/2019;Retrait;100014;John Doe
16;24/11/2019;Transfer ;100015;Meryline Doe
17;25/11/2019;versement;100016;John Doe
18;26/11/2019;paiement;100017;Meryline Doe
